word,word_cnt_all,word_cnt_sentence,idf
『,11464.0,2420.0,2.1144639460856975
くれる,1588.0,1095.0,2.907477122985828
れ,19829.0,6013.0,1.20430769419686
自分,5178.0,2237.0,2.1930958037462993
う,10505.0,4362.0,1.5253008184748555
する,27232.0,6491.0,1.1278148842029605
楽しめ,184.0,160.0,4.830812950002603
せる,1170.0,964.0,3.0348954706258837
一言,177.0,153.0,4.875548843843994
取り入れ,180.0,155.0,4.8625616483171825
幸恵,10.0,6.0,8.114227296008375
いる,26800.0,6374.0,1.146004270259148
いい,3733.0,2086.0,2.2629831296757112
き,3276.0,2164.0,2.2262731252700574
頑張る,65.0,54.0,5.917002718672155
1000,71.0,57.0,5.862935497401879
なく,4835.0,2882.0,1.939746988676962
送っ,229.0,201.0,4.602681857177354
フランク,28.0,16.0,7.133398042996648
感想,251.0,220.0,4.512359218884067
呼ば,409.0,341.0,4.074104287952912
危険性,26.0,25.0,6.687110940368228
暗記,3.0,3.0,8.80737447656832
まったく,273.0,239.0,4.429523213304918
しれ,1641.0,1204.0,2.812582139367663
上手,230.0,176.0,4.735502770198278
こなし,56.0,54.0,5.917002718672155
出席,98.0,81.0,5.51153761056399
ごと,351.0,285.0,4.2534975849677785
用,1593.0,835.0,3.1785550403855742
独女,1093.0,465.0,3.7639493596490734
もの,4733.0,2707.0,2.0023904756221285
対応,3792.0,1336.0,2.7085514111398385
件,234.0,191.0,4.653713337189799
らしい,528.0,459.0,3.776936555175884
へ,4595.0,2797.0,1.96968407203447
失敗,394.0,239.0,4.429523213304918
すれ,867.0,705.0,3.3477889624241604
できる,7996.0,3243.0,1.8217326589291112
た,82924.0,7281.0,1.012963270841718
これ,3765.0,2554.0,2.0605707286439445
確か,462.0,381.0,3.963187390109728
タイプ,977.0,624.0,3.4698363968670014
よう,10005.0,4232.0,1.5555567916982938
あれこれ,45.0,43.0,6.144786649542867
楽しめる,673.0,496.0,3.6994108385115014
いっぱい,255.0,233.0,4.454948311670729
ものの,510.0,469.0,3.75538399679015
し,61421.0,7265.0,1.0151631892320463
自己嫌悪,7.0,6.0,8.114227296008375
誰,1005.0,803.0,3.2176320512896677
ん,10965.0,3330.0,1.7952591822619404
出,1324.0,985.0,3.0133451240643403
サプライズ,107.0,53.0,5.935694851684307
形式,236.0,181.0,4.707489733970603
読み,458.0,317.0,4.147084991359149
わざわざ,81.0,76.0,5.575253424950098
メリット,200.0,150.0,4.895351471140174
高山,6.0,5.0,8.296548852802328
堂々,98.0,90.0,5.406177094906164
しどろもどろ,6.0,5.0,8.296548852802328
読ん,394.0,275.0,4.289215667569858
記念に,8.0,8.0,7.826545223556593
そのまま,420.0,360.0,4.0198827337862735
という,13499.0,4945.0,1.3998545211796163
ためし,6.0,6.0,8.114227296008375
でき,5392.0,2680.0,2.012414691731527
式,455.0,285.0,4.2534975849677785
ない,24771.0,5783.0,1.2433089070782106
まし,7909.0,2731.0,1.993563643762724
後,1907.0,1395.0,2.6653370709809634
！,19336.0,5135.0,1.362151642873771
たり,4127.0,1858.0,2.3787308458626457
10万,48.0,41.0,6.192414698532121
じゃ,1814.0,1197.0,2.8184130596784565
ながら,2306.0,1692.0,2.472320225070261
書き方,9.0,7.0,7.960076616181116
終わっ,249.0,225.0,4.489886363032009
新郎新婦,8.0,5.0,8.296548852802328
と,75664.0,7258.0,1.0161271774634137
を,126306.0,7355.0,1.0028511322008917
やっ,1106.0,765.0,3.2661109314098935
3人,267.0,190.0,4.658962693075943
方法,1528.0,908.0,3.0947423866351356
あれ,1151.0,879.0,3.1272018675512525
くれ,1857.0,1140.0,2.8672032238478877
例文,1.0,1.0,9.90598676523643
お祝い,27.0,21.0,6.861464327513007
に,130209.0,7343.0,1.0044840077848196
どう,2195.0,1523.0,2.577549412341267
語る,658.0,514.0,3.663763499781264
35歳,241.0,196.0,4.6278721060059125
み,3107.0,2020.0,2.295133974841179
？,11251.0,4230.0,1.556029493196105
ネット,859.0,610.0,3.492527808069072
一晩,18.0,16.0,7.133398042996648
サプライズスピーチ,1.0,1.0,9.90598676523643
無理,275.0,226.0,4.485451765964143
手紙,109.0,62.0,5.778852380191338
ちゃん,372.0,222.0,4.50330938336415
行っ,1757.0,1250.0,2.7750879349400828
が,115851.0,7349.0,1.0036672367075585
ある,12790.0,4924.0,1.4041102779320855
くる,1457.0,1124.0,2.881337734782793
い,17367.0,5120.0,1.3650770472028757
ジューン・ブライド,1.0,1.0,9.90598676523643
コミュニティ,52.0,35.0,6.350638703747016
よ,6065.0,2341.0,2.147653297745519
言わ,1344.0,953.0,3.0463718615822275
本当に,1036.0,736.0,3.3047566465075526
指名,65.0,43.0,6.144786649542867
投稿,530.0,250.0,4.384525847374183
その,6730.0,3632.0,1.7084480255152457
他,1479.0,1145.0,2.862826849248089
何分,3.0,3.0,8.80737447656832
とき,2362.0,1210.0,2.807611126645643
惠,2.0,2.0,9.212839584676484
あり,5301.0,2779.0,1.976140335493926
の,202642.0,7360.0,1.0021715535135076
（,28193.0,5919.0,1.220063970545704
いきなり,139.0,131.0,5.030789442035278
ので,7083.0,3088.0,1.870707854091762
スピーチ,31.0,26.0,6.647890227214948
曰く,42.0,41.0,6.192414698532121
結婚式,173.0,79.0,5.536538912769408
一人暮らし,76.0,64.0,5.747103681876758
なんと,468.0,437.0,3.8260535701408394
な,34908.0,6637.0,1.105571432090505
超える,234.0,206.0,4.578110596446848
は,111086.0,7341.0,1.004756413125648
昨年,456.0,381.0,3.963187390109728
なかっ,2269.0,1540.0,2.5664490698287548
代表,533.0,419.0,3.868115845314292
…,4618.0,1941.0,2.3350281820674192
さらに,2262.0,1738.0,2.4454964594110917
等,534.0,422.0,3.8609814512004172
でし,1450.0,936.0,3.0643712887588377
インターネット,555.0,337.0,4.085903834884068
なるほど,135.0,108.0,5.223855538112209
、,205942.0,7348.0,1.0038033189014133
幸,14.0,9.0,7.708762187900209
そんな,2749.0,1981.0,2.314629718537878
大丈夫,276.0,254.0,4.368652498217893
教え,524.0,393.0,3.932177153367168
さん,8032.0,1829.0,2.3944621168455633
それら,116.0,104.0,5.261595866095057
でも,4445.0,2560.0,2.058224227762821
基本的,147.0,133.0,5.015637637014676
参考,260.0,234.0,4.450665649878728
重ね,184.0,159.0,4.837082563016198
内容,1246.0,897.0,3.1069309031776333
多い,2764.0,1772.0,2.426122634071403
みる,1131.0,904.0,3.099157404844253
みたい,862.0,598.0,3.512396011285798
EOS,7405.0,7367.0,1.0012209185536154
以外,808.0,669.0,3.4002027051082004
ちなみに,448.0,379.0,3.968450560154003
中,5700.0,3225.0,1.8272985360065572
作成,448.0,261.0,4.341466357913736
だ,21079.0,5600.0,1.2754648885131878
として,5988.0,3396.0,1.7756332178051917
って,3836.0,1659.0,2.4920164750459852
かも,2427.0,1596.0,2.5307309872266748
いっ,981.0,781.0,3.245411615396743
そこ,786.0,660.0,3.413746930215958
こっそり,76.0,58.0,5.84554375469001
やり方,64.0,56.0,5.88063507450128
_,24803.0,4578.0,1.4769692647239179
たくさん,584.0,460.0,3.7747602757532883
位,237.0,153.0,4.875548843843994
聞か,289.0,230.0,4.467907456313234
あっ,2946.0,2006.0,2.302088796714548
書い,372.0,276.0,4.28558589951928
あげれ,6.0,6.0,8.114227296008375
考え,1615.0,1129.0,2.8768992010867676
以上,2011.0,1502.0,2.5914339329123495
担当,424.0,291.0,4.2326634980649365
人,7599.0,3058.0,1.8804703787474217
そういう,652.0,475.0,3.742671961201788
由利,1.0,1.0,9.90598676523643
メッセージ,388.0,284.0,4.257012527075223
何より,70.0,69.0,5.67188026063917
文,223.0,190.0,4.658962693075943
同じ,1540.0,1141.0,2.8663264153743535
だけ,4971.0,2927.0,1.9242534785445438
』,11341.0,2413.0,2.117360699611398
貧乏,60.0,37.0,6.295068852592205
さ,21025.0,6033.0,1.2009870867956671
最近,1123.0,847.0,3.1642860705843745
ね,7379.0,2457.0,2.0992903927152504
つまらない,50.0,46.0,6.077345368747334
30歳,282.0,210.0,4.558879234518961
回数,56.0,51.0,5.974161132512103
めでたい,3.0,3.0,8.80737447656832
薫,24.0,17.0,7.072773421180213
友情,124.0,83.0,5.487146157439831
よい,421.0,332.0,4.100851796319941
難しかっ,41.0,38.0,6.268400605510044
わかっ,304.0,275.0,4.289215667569858
上手く,129.0,105.0,5.252026415078906
過去,570.0,451.0,3.7945194257337507
断ち切れ,5.0,5.0,8.296548852802328
思え,300.0,270.0,4.307564806238054
まで,6204.0,3543.0,1.733257660370958
お互い,356.0,252.0,4.376557677725006
美加子,2.0,2.0,9.212839584676484
切れ,153.0,125.0,5.077673027934128
34歳,203.0,182.0,4.701980078159634
ほう,601.0,477.0,3.7384702743480878
落とし穴,26.0,20.0,6.910254491682439
意見,847.0,617.0,3.4811177413310412
それ以降,10.0,10.0,7.603401672242383
恐らく,36.0,34.0,6.379626240620268
思い出,181.0,126.0,5.069704858284951
布,81.0,72.0,5.629320646220374
絶縁,6.0,5.0,8.296548852802328
ほど,1525.0,1178.0,2.8344134010248974
彼,2434.0,839.0,3.1737760587692234
ご時世,13.0,13.0,7.341037407774893
子ども,477.0,246.0,4.400655229304067
少ない,336.0,294.0,4.222406997897748
す,330.0,297.0,4.2122546264337295
コメント,1321.0,908.0,3.0947423866351356
開け,140.0,106.0,5.242547671124362
婚約,32.0,24.0,6.727932934888484
ツール,288.0,180.0,4.713029914346219
いつしか,26.0,25.0,6.687110940368228
連絡先,71.0,54.0,5.917002718672155
戻し,51.0,42.0,6.168317146953061
気持ち,1233.0,799.0,3.2226258194701547
ま,68.0,62.0,5.778852380191338
手帳,34.0,23.0,6.77049254930728
ただ,799.0,665.0,3.406199724580575
当時,387.0,289.0,4.239560077123997
交際,307.0,176.0,4.735502770198278
きり,62.0,57.0,5.862935497401879
なぜ,559.0,464.0,3.766102213010174
届い,102.0,94.0,5.3626919829664255
時代,776.0,574.0,3.5533573689168625
電話番号,147.0,100.0,5.3008165792483375
感,816.0,605.0,3.5007583072055874
尚美,12.0,4.0,8.519692404116538
うち,809.0,644.0,3.4382880391320754
結婚,2181.0,575.0,3.5516167244390786
引きずろ,1.0,1.0,9.90598676523643
切っ,167.0,151.0,4.888706928421505
もし,307.0,268.0,4.314999784725573
にとって,1138.0,898.0,3.1058166969342293
電話,564.0,375.0,3.9790607392660187
続ける,448.0,387.0,3.9475620722066473
想い出,10.0,8.0,7.826545223556593
仲,169.0,136.0,4.993331879500377
られる,1877.0,1425.0,2.644059672533678
繋ぎ,19.0,16.0,7.133398042996648
話,1603.0,998.0,3.000233488924965
癒さ,99.0,67.0,5.701294145845464
中年,25.0,21.0,6.861464327513007
まみれ,25.0,21.0,6.861464327513007
頼り,91.0,72.0,5.629320646220374
辛い,129.0,107.0,5.2331579307745235
現実感,7.0,7.0,7.960076616181116
関係,1007.0,696.0,3.3606371049020094
涙,236.0,159.0,4.837082563016198
消す,40.0,37.0,6.295068852592205
シャットアウト,6.0,5.0,8.296548852802328
すっかり,157.0,151.0,4.888706928421505
切り,71.0,58.0,5.84554375469001
情報,2838.0,1740.0,2.4443463730278543
同時に,410.0,359.0,4.022664376748151
次第,195.0,184.0,4.691051007627443
心,1164.0,763.0,3.2687287339519724
紹介,3111.0,1739.0,2.444921250882146
もしも,64.0,56.0,5.88063507450128
やりとり,97.0,81.0,5.51153761056399
知恵,42.0,33.0,6.4094792037699495
引き,72.0,62.0,5.778852380191338
現在,1655.0,1303.0,2.733562188111584
ずれる,8.0,8.0,7.826545223556593
つきあっ,44.0,35.0,6.350638703747016
以前,486.0,428.0,3.8468635696546327
から,21445.0,6219.0,1.1706223641325408
同,1124.0,889.0,3.1158895297225246
断ち,4.0,4.0,8.519692404116538
最後,892.0,723.0,3.3225775430776645
律子,10.0,4.0,8.519692404116538
受話器,6.0,3.0,8.80737447656832
執着,42.0,27.0,6.6101498992321
ところ,2310.0,1577.0,2.5427071782733908
生活,762.0,571.0,3.558597555580419
間近,61.0,58.0,5.84554375469001
節目,19.0,16.0,7.133398042996648
普通,454.0,366.0,4.003353431835063
分,1039.0,662.0,3.410721209299421
戻る,86.0,83.0,5.487146157439831
書き込ん,23.0,21.0,6.861464327513007
だっ,4082.0,2411.0,2.1181898870552587
今,3132.0,1973.0,2.318676259213814
だけど,129.0,97.0,5.3312757867330465
や,16035.0,5168.0,1.3557457197739922
友達,1000.0,493.0,3.7054775911937394
しまう,2138.0,1397.0,2.6639044059794674
携帯電話,704.0,363.0,4.011583930971579
縁,112.0,78.0,5.549277938546838
切れる,39.0,35.0,6.350638703747016
断つ,4.0,4.0,8.519692404116538
きれい,115.0,87.0,5.440078646581846
普及,318.0,231.0,4.463569054714636
出会い,447.0,275.0,4.289215667569858
美化,4.0,4.0,8.519692404116538
住ん,98.0,86.0,5.451639468982922
淡く,1.0,1.0,9.90598676523643
スルー,39.0,28.0,6.573782255061225
残っ,195.0,163.0,4.812236564429667
一般,390.0,304.0,4.188959063830207
メモリ,203.0,121.0,5.110196219639688
オール・オア・ナッシング,1.0,1.0,9.90598676523643
ませ,3488.0,1796.0,2.412669516374284
ただし,393.0,337.0,4.085903834884068
冷め,53.0,42.0,6.168317146953061
あろ,155.0,146.0,4.922380143528093
書か,226.0,189.0,4.664239750176787
元カレ,40.0,28.0,6.573782255061225
など,11463.0,4749.0,1.440297416687308
上げ,315.0,257.0,4.356910680341209
マイミク,15.0,7.0,7.960076616181116
たい,6260.0,3117.0,1.861360485469092
言える,477.0,418.0,3.870505332711673
赤裸々,41.0,38.0,6.268400605510044
いう,2841.0,1839.0,2.3890095406321086
選択,679.0,401.0,3.91202533792986
使え,446.0,355.0,4.033868975761013
恋愛,1177.0,459.0,3.776936555175884
比べ,352.0,293.0,4.225814156219362
にくかっ,13.0,13.0,7.341037407774893
メル友,8.0,5.0,8.296548852802328
そう,4117.0,2324.0,2.1549416472646277
5年前,12.0,12.0,7.421080115448429
切ない,45.0,40.0,6.2171073111224935
連絡,507.0,259.0,4.349158703536892
メール,1208.0,562.0,3.5744849153427385
晩,29.0,24.0,6.727932934888484
実家,175.0,98.0,5.321019286565857
メールアドレス,111.0,69.0,5.67188026063917
相手,1583.0,767.0,3.2634999638691733
すでに,476.0,421.0,3.863353931554048
期間,445.0,334.0,4.0948457722597285
10年前,29.0,29.0,6.538690935249955
様,1150.0,530.0,3.633109758690262
機会,368.0,329.0,4.109929014471057
飯,6.0,6.0,8.114227296008375
復活愛,21.0,8.0,7.826545223556593
注意,608.0,442.0,3.8146768831587314
二,335.0,258.0,4.353027180314812
送る,169.0,150.0,4.895351471140174
なぁ,198.0,159.0,4.837082563016198
網,74.0,44.0,6.121797131318168
疑問,321.0,281.0,4.267632095902684
入っ,803.0,614.0,3.485991837089287
元,946.0,744.0,3.2939457304033377
脳内,20.0,15.0,7.197936564134219
38歳,121.0,109.0,5.214638883007286
恋人,424.0,258.0,4.353027180314812
浮気,254.0,88.0,5.428649950758222
太り,42.0,33.0,6.4094792037699495
恋,626.0,296.0,4.215627310912369
得,1165.0,650.0,3.4290144023467466
だり,146.0,134.0,5.008146965285518
十,217.0,184.0,4.691051007627443
日記,85.0,57.0,5.862935497401879
未練,12.0,10.0,7.603401672242383
ビックリ,94.0,85.0,5.463335508746113
36歳,183.0,163.0,4.812236564429667
切ろ,3.0,3.0,8.80737447656832
関係性,46.0,28.0,6.573782255061225
ずるずる,6.0,6.0,8.114227296008375
ひと昔,8.0,8.0,7.826545223556593
原因,543.0,403.0,3.9070502032897467
和,98.0,84.0,5.475169966393116
”,9928.0,3157.0,1.848609276678438
年賀状,89.0,26.0,6.647890227214948
パパ,78.0,40.0,6.2171073111224935
べき,720.0,577.0,3.5481444987283295
切る,97.0,89.0,5.41735039550429
しまえ,50.0,47.0,6.055839163526371
トホホ,14.0,10.0,7.603401672242383
独り身,15.0,12.0,7.421080115448429
残し,238.0,217.0,4.52608941169597
消去,60.0,55.0,5.898653580003958
別れ,277.0,168.0,4.7820227858331705
“,9791.0,3124.0,1.8591172542768533
すぎ,590.0,479.0,3.7342861678255144
ブログ,784.0,441.0,3.8169418897895833
マイホーム,17.0,6.0,8.114227296008375
来,619.0,506.0,3.6794500959489636
話題,4037.0,1934.0,2.3386410892231897
発信,209.0,167.0,4.787992952819674
嬉しい,518.0,422.0,3.8609814512004172
リアルタイム,103.0,77.0,5.562181343382745
認め,195.0,155.0,4.8625616483171825
優木まおみ,10.0,7.0,7.960076616181116
傷つい,34.0,29.0,6.538690935249955
評判,116.0,100.0,5.3008165792483375
ブーム,227.0,179.0,4.718600959395674
メーカー,598.0,373.0,3.9844083455926134
だって,452.0,359.0,4.022664376748151
思い,3170.0,1652.0,2.4962448111555062
とか,1845.0,897.0,3.1069309031776333
美し,279.0,207.0,4.5732679719710605
OK,358.0,301.0,4.198876500487554
私生活,28.0,27.0,6.6101498992321
特別,517.0,372.0,3.987092910963283
化,1389.0,877.0,3.1294797728642463
持っ,1375.0,1007.0,2.9912558725178666
ジャンル,211.0,177.0,4.7298370326626005
見せ,607.0,517.0,3.657943890728
抱い,84.0,77.0,5.562181343382745
仮名,226.0,80.0,5.523960130562548
少し,709.0,598.0,3.512396011285798
小倉優子,8.0,3.0,8.80737447656832
サービス,2196.0,962.0,3.036972314570723
女の子,386.0,253.0,4.372597276508909
かわいい,491.0,311.0,4.166193853057195
陣,313.0,286.0,4.249994954416577
31歳,104.0,91.0,5.3951272587195795
自信,328.0,252.0,4.376557677725006
ああ,100.0,87.0,5.440078646581846
参り,10.0,9.0,7.708762187900209
肯定,38.0,34.0,6.379626240620268
反対派,4.0,4.0,8.519692404116538
好きな芸能人,2.0,2.0,9.212839584676484
若い,335.0,255.0,4.3647232200780035
俺,385.0,256.0,4.360809320756867
時,3589.0,2064.0,2.2735856386349758
それぞれ,738.0,645.0,3.436736448440657
よる,600.0,552.0,3.5924387189593343
あ,180.0,130.0,5.038452314780847
／,3804.0,1221.0,2.7985612911257247
てる,1749.0,1070.0,2.9305728377804776
垣間見,38.0,38.0,6.268400605510044
企業,606.0,331.0,4.103868389859366
実際,1271.0,980.0,3.018434193571812
可愛い,291.0,186.0,4.680240091523228
想い,228.0,171.0,4.764323208733769
何で,63.0,55.0,5.898653580003958
裕美,23.0,11.0,7.508091492438059
すごく,675.0,360.0,4.0198827337862735
幻想,52.0,37.0,6.295068852592205
こそ,770.0,610.0,3.492527808069072
重々,3.0,3.0,8.80737447656832
努力,266.0,188.0,4.66954480240648
毎日,761.0,579.0,3.5446842876634337
全然,240.0,203.0,4.592780786194642
では,635.0,518.0,3.6560115229769465
20代前半,23.0,21.0,6.861464327513007
今年,1149.0,826.0,3.1893919917154516
（笑）,1104.0,543.0,3.608877445302494
顔,883.0,553.0,3.5906287637140943
リラックス,185.0,144.0,4.936173465660429
賛成,35.0,33.0,6.4094792037699495
随分,35.0,33.0,6.4094792037699495
IT企業,11.0,10.0,7.603401672242383
心境,61.0,59.0,5.82844932133071
磨く,49.0,37.0,6.295068852592205
不満,172.0,130.0,5.038452314780847
承知,12.0,12.0,7.421080115448429
複雑,140.0,123.0,5.093802409864012
すっぴん,67.0,28.0,6.573782255061225
載せ,47.0,40.0,6.2171073111224935
言う,902.0,670.0,3.3987090528514177
為,167.0,137.0,4.986005839408304
田中れいな,2.0,2.0,9.212839584676484
というのも,55.0,50.0,5.993963759808283
大好き,357.0,286.0,4.249994954416577
女性,4150.0,1545.0,2.563207575904584
男性,2401.0,912.0,3.0903467751620983
欲しい,788.0,614.0,3.485991837089287
芸能人,221.0,145.0,4.929253022815855
認める,54.0,50.0,5.993963759808283
今後,895.0,722.0,3.3239616263436034
個人的,105.0,91.0,5.3951272587195795
素直,153.0,117.0,5.143812830438673
並ぶ,93.0,86.0,5.451639468982922
ゲンナリ,6.0,6.0,8.114227296008375
付け加え,15.0,15.0,7.197936564134219
相次ぐ,62.0,61.0,5.795112901063118
仲里依紗,6.0,5.0,8.296548852802328
10代,72.0,59.0,5.82844932133071
表情,247.0,200.0,4.607669398688393
多く,1956.0,1508.0,2.5874472166685276
明かし,307.0,274.0,4.292858658848359
達,444.0,318.0,4.143935382456252
様々,898.0,733.0,3.308841063349778
載せる,15.0,15.0,7.197936564134219
魅力,998.0,738.0,3.302042940635957
ファン,1244.0,763.0,3.2687287339519724
皆,150.0,117.0,5.143812830438673
活躍,722.0,593.0,3.5207923662387035
られ,3674.0,2502.0,2.0811410742095733
からだ,107.0,97.0,5.3312757867330465
ひがみ,3.0,3.0,8.80737447656832
アパレル,70.0,44.0,6.121797131318168
雄介,3.0,3.0,8.80737447656832
ニュース,1079.0,629.0,3.4618555085359883
また,4201.0,3089.0,1.8703840723178473
営業,249.0,143.0,4.943142134976522
事,1069.0,585.0,3.5343749180045725
同年代,29.0,27.0,6.6101498992321
褒め,74.0,58.0,5.84554375469001
予感,70.0,64.0,5.747103681876758
本来,162.0,151.0,4.888706928421505
つい,555.0,477.0,3.7384702743480878
彼女,1419.0,736.0,3.3047566465075526
見越し,5.0,5.0,8.296548852802328
呼ぶ,108.0,89.0,5.41735039550429
ファンサービス,11.0,9.0,7.708762187900209
勤める,41.0,40.0,6.2171073111224935
一生懸命,105.0,91.0,5.3951272587195795
披露,404.0,306.0,4.182401663284049
そりゃ,38.0,37.0,6.295068852592205
写真,2730.0,963.0,3.0359333534383035
素顔,70.0,55.0,5.898653580003958
徹,4.0,4.0,8.519692404116538
見,3150.0,2004.0,2.303086303031674
年齢,440.0,299.0,4.205543191845742
28歳,153.0,130.0,5.038452314780847
出来,401.0,315.0,4.153414126410796
やっぱり,630.0,500.0,3.691378666814238
32歳,176.0,156.0,4.856130757986892
乙女心,25.0,22.0,6.814944311878113
キレイ,329.0,208.0,4.568448685535111
賞賛,82.0,70.0,5.65749152318707
派,268.0,165.0,4.800041291335849
安倍なつみ,12.0,9.0,7.708762187900209
ナナメ,2.0,2.0,9.212839584676484
分かれ,90.0,85.0,5.463335508746113
モーニング娘。,31.0,16.0,7.133398042996648
働く,261.0,196.0,4.6278721060059125
思える,142.0,131.0,5.030789442035278
メイク,355.0,151.0,4.888706928421505
香,22.0,13.0,7.341037407774893
美しい,436.0,337.0,4.085903834884068
必要,2147.0,1395.0,2.6653370709809634
出社,20.0,18.0,7.015615007340265
出版,110.0,89.0,5.41735039550429
いつか,117.0,97.0,5.3312757867330465
公開,2752.0,1171.0,2.840373401638712
見る,1720.0,1220.0,2.7993806275091266
表裏一体,3.0,3.0,8.80737447656832
下着,106.0,49.0,6.014166467125802
大き,187.0,155.0,4.8625616483171825
抜群,143.0,126.0,5.069704858284951
アンチエイジング,51.0,39.0,6.242425119106783
戻り,61.0,42.0,6.168317146953061
医学,27.0,21.0,6.861464327513007
叔母,10.0,9.0,7.708762187900209
法則,56.0,46.0,6.077345368747334
特徴,556.0,440.0,3.819212038324123
年間,161.0,137.0,4.986005839408304
さまざま,423.0,362.0,4.014342553410658
スポーツクラブ,16.0,7.0,7.960076616181116
子,599.0,379.0,3.968450560154003
維持,118.0,103.0,5.271257777006793
伝える,231.0,192.0,4.648491393208648
直視,4.0,4.0,8.519692404116538
参加,807.0,557.0,3.583421525309145
つけ,669.0,524.0,3.6444950809153873
界,260.0,202.0,4.597719067835224
外,336.0,263.0,4.333832733058665
ほめ,21.0,11.0,7.508091492438059
尋ね,61.0,51.0,5.974161132512103
知人,93.0,83.0,5.487146157439831
もちろん,1255.0,1038.0,2.9609357015105955
身体,269.0,169.0,4.776088050313356
意識,523.0,380.0,3.9658155125159977
歩い,129.0,112.0,5.187487893941335
伸び,107.0,91.0,5.3951272587195795
脂肪,67.0,32.0,6.440250862436702
流れる,108.0,95.0,5.3521098736358885
大きく,578.0,482.0,3.728042651185829
